Date,Clicks,Impressions,CTR,Position
2026-04-23,4,351,1.14%,20.1
2026-04-24,16,564,2.84%,18.5
2026-04-25,17,501,3.39%,16.5
2026-04-26,22,540,4.07%,18.7
2026-04-27,13,445,2.92%,16.5
2026-04-28,13,456,2.85%,15.5
2026-04-29,16,548,2.92%,17.4
2026-04-30,8,466,1.72%,16.9
2026-05-01,8,577,1.39%,17.2
2026-05-02,14,477,2.94%,16.7
2026-05-03,13,486,2.67%,17.3
2026-05-04,11,432,2.55%,19.9
2026-05-05,14,461,3.04%,16.1
2026-05-06,7,402,1.74%,17.1
2026-05-07,10,448,2.23%,20.4
2026-05-08,18,482,3.73%,13.8
2026-05-09,0,78,0%,41.2
2026-05-10,13,298,4.36%,15.4
2026-05-11,11,1110,0.99%,32.9
2026-05-12,18,1357,1.33%,27.2
2026-05-13,17,827,2.06%,21.6
2026-05-14,14,706,1.98%,15.7
2026-05-15,8,784,1.02%,16.8
2026-05-16,17,671,2.53%,15.1
2026-05-17,21,746,2.82%,16
2026-05-18,26,747,3.48%,15.1
2026-05-19,11,690,1.59%,15.2
2026-05-20,19,632,3.01%,16.5