Page,Clicks,Impressions,CTR,Position
https://www.scootershop.com.au/,100,4040,2.5%,13.4
https://www.scootershop.com.au/tyre-fitting,6,261,2.3%,18.3
https://www.scootershop.com.au/inventory/motorcycles/bike-sym-echs-125-24,6,251,2.4%,9.1
https://www.scootershop.com.au/hire,6,111,5.4%,11.7
https://www.scootershop.com.au/inventory/motorcycles/1994-yamaha-yzf750-34,3,39,7.7%,7.9
https://www.scootershop.com.au/service,2,190,1.1%,24.7
https://www.scootershop.com.au/inventory/motorcycles/bike-segway-e300se-5,2,148,1.4%,8.9
https://www.scootershop.com.au/inventory/motorcycles/used,1,115,0.9%,18.2
https://www.scootershop.com.au/contact,1,69,1.4%,19.2
https://www.scootershop.com.au/inventory/motorcycles/new,1,40,2.5%,20.5
https://www.scootershop.com.au/inventory/motorcycles/2012-vespa-gts-300-super-sport-43,1,13,7.7%,7.2
https://www.scootershop.com.au/inventory/motorcycles/bike-sym-drgbt-160-7,1,8,12.5%,7.3
https://www.scootershop.com.au/inventory/motorcycles/1995-ducati-748-31,1,7,14.3%,10.3
https://www.scootershop.com.au/electric-scooters,0,205,0%,37.5
https://www.scootershop.com.au/escooters,0,90,0%,37.7
https://www.scootershop.com.au/view-all/,0,84,0%,71.9
https://www.scootershop.com.au/inventory/motorcycles/bike-sym-orbit-ii-125-8,0,55,0%,8.7
https://www.scootershop.com.au/inventory/motorcycles/9/,0,51,0%,7.4
https://www.scootershop.com.au/inventory/motorcycles/bike-segway-e125s-4,0,47,0%,8.9
https://www.scootershop.com.au/inventory/motorcycles/bike-sym-classic-125-sport-9,0,28,0%,9.7
https://www.scootershop.com.au/shop-online/,0,28,0%,59.4
https://www.scootershop.com.au/inventory/motorcycles/1997-ducati-750ss-36,0,23,0%,6.7
https://www.scootershop.com.au/inventory/motorcycles/bike-sym-max400i-12,0,9,0%,7.6
https://www.scootershop.com.au/inventory/motorcycles/2026-segway-e125s-4,0,7,0%,5.4
https://www.scootershop.com.au/shop-online/on-sale/,0,7,0%,44.3
https://www.scootershop.com.au/segway-electric-scooters/,0,6,0%,51.7
https://www.scootershop.com.au/inventory/motorcycles/10,0,4,0%,8.3
https://www.scootershop.com.au/inventory/motorcycles/2023-sym-joymax-z-300-11,0,3,0%,13.0
https://www.scootershop.com.au/inventory/motorcycles/1976-suzuki-gt750-tiple-two-stroke-waterbottlekettle-32,0,2,0%,11.0
https://www.scootershop.com.au/inventory/motorcycles/bike-segway-e110s-3,0,1,0%,4.0
https://www.scootershop.com.au/escooters/example-ninebot-1,0,1,0%,6.0